N°DPE,Date_établissement_DPE,Etiquette_DPE,Etiquette_GES,Surface_habitable_logement,Type_bâtiment,Année_construction,Adresse_(BAN),Code_postal_(BAN),Code_INSEE_(BAN),Identifiant__BAN,Score_BAN,Conso_5_usages_par_m²_é_primaire,Emission_GES_5_usages_par_m²,Coordonnée_cartographique_X_(BAN),Coordonnée_cartographique_Y_(BAN),id_parcelle_rapprochee
2324E0000833,2023-07-12,A,A,77.4,appartement,1983,3 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3267_00003,0.92,66.9,5.08,0.557,45.087,24016000C0700
2333E0000439,2024-04-13,D,F,75.0,maison,2003,69 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_7363_00069,0.95,225.2,7.31,-0.5792,44.8378,33063000Z0832
2333E0000580,2023-06-24,F,E,47.0,appartement,2011,15 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_4616_00015,0.95,339.7,12.06,-0.5792,44.8378,33063000C0549
2333E0000893,2022-07-27,E,G,152.0,maison,,158 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_4046_00158,0.98,311.2,16.69,-0.5792,44.8378,33063000A0431
2333E0000600,2022-09-25,G,E,125.0,maison,1930,104 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_9736_00104,0.71,455.4,20.63,-0.5792,44.8378,33063000E0392
2317E0000000,2024-01-11,D,E,89.0,appartement,1962,171 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_8638_00171,0.98,211.7,7.16,-0.9628,45.9414,17300000A0408
2324E0000162,2021-05-11,F,D,106.0,maison,1975,20 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7590_00020,0.55,397.2,12.83,0.557,45.087,24016000B0526
2324E0000897,2023-09-03,D,F,48.0,appartement,1890,175 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8244_00175,0.92,222.5,15.45,0.557,45.087,24016000Z0244
2324E0000280,2023-10-04,F,E,,maison,1983,151 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7149_00151,0.92,360.1,9.25,0.557,45.087,24016000B0325
2333E0000283,2022-08-11,A,F,130.0,maison,,31 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_5279_00031,0.92,63.6,1.84,-0.5792,44.8378,33063000B0023
2317E0000325,2021-02-22,D,D,51.0,appartement,1890,96 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_6490_00096,0.88,173.5,12.25,-0.9628,45.9414,17300000C0410
2324E0000423,2023-01-15,E,E,43.0,appartement,1983,114 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7402_00114,0.88,247.9,8.93,0.557,45.087,24016000E0142
2317E0000757,2023-01-07,C,E,46.0,appartement,,146 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_3885_00146,0.95,119.8,9.11,-0.9628,45.9414,17300000C0642
2324E0000180,2022-02-20,F,G,58.0,appartement,1994,134 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3010_00134,0.95,324.5,9.5,0.557,45.087,24016000C0056
2333E0000761,2024-05-10,D,C,58.0,appartement,1930,125 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_5230_00125,0.92,218.4,19.38,-0.5792,44.8378,33063000B0517
2324E0000527,2023-03-23,E,D,44.0,appartement,1994,25 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7893_00025,0.92,255.6,22.79,0.557,45.087,24016000A0437
2317E0000575,2023-08-13,D,D,123.0,maison,1930,137 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_6607_00137,0.98,197.4,14.25,-0.9628,45.9414,17300000C0340
2317E0000459,2024-09-25,D,G,138.0,maison,1983,63 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_1342_00063,0.95,210.1,14.26,-0.9628,45.9414,17300000C0971
2324E0000548,2023-07-23,B,E,,appartement,1890,25 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3136_00025,0.55,100.3,7.82,0.557,45.087,24016000E0443
2317E0000830,2023-01-29,C,G,72.0,maison,,142 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_6075_00142,0.98,137.1,3.58,-0.9628,45.9414,17300000A0904
2333E0000210,2023-07-24,D,D,149.0,maison,1975,155 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_6191_00155,0.95,190.9,12.12,-0.5792,44.8378,33063000E0831
2333E0000539,2023-11-06,D,B,208.0,maison,2003,25 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_6200_00025,0.88,216.4,5.95,-0.5792,44.8378,33063000C0707
2317E0000868,2023-04-17,D,B,169.0,maison,1975,164 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_3052_00164,0.92,188.5,4.58,-0.9628,45.9414,17300000D0159
2317E0000360,2023-11-02,F,D,66.0,appartement,2019,24 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_8172_00024,0.95,412.1,36.07,-0.9628,45.9414,17300000Z0668
2317E0000653,2022-01-10,E,E,204.0,maison,1930,71 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_1504_00071,0.92,257.9,11.23,-0.9628,45.9414,17300000D0861
2324E0000389,2022-10-14,D,E,80.0,appartement,1983,101 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5212_00101,0.88,201.9,15.52,0.557,45.087,24016000A0130
2324E0000315,2021-06-30,G,D,64.0,appartement,1983,141 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8035_00141,0.88,528.5,45.96,0.557,45.087,24016000A0945
2324E0000473,2021-06-19,C,G,39.0,appartement,2011,164 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1715_00164,0.98,158.1,7.5,0.557,45.087,24016000A0569
2324E0000619,2024-05-24,F,C,85.0,appartement,1890,109 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6419_00109,0.88,369.5,18.27,0.557,45.087,24016000D0125
2324E0000636,2022-10-30,D,E,50.6,appartement,2011,8 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5537_00008,0.98,173.1,13.42,0.557,45.087,24016000D0669
2333E0000191,2022-11-05,F,F,247.4,maison,1890,120 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_1162_00120,0.98,337.2,26.73,-0.5792,44.8378,33063000B0418
2333E0000794,2023-09-26,B,E,105.6,appartement,1983,25 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_2915_00025,0.98,86.9,4.98,-0.5792,44.8378,33063000B0932
2324E0000066,2023-02-12,E,D,77.0,maison,1962,141 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_4996_00141,0.92,246.3,19.27,0.557,45.087,24016000E0944
2324E0000694,2024-02-07,B,B,383.0,maison,1930,109 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1502_00109,0.92,100.0,4.21,0.557,45.087,24016000A0838
2324E0000510,2022-02-28,E,E,41.0,appartement,1983,31 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3082_00031,0.98,260.3,7.55,0.557,45.087,24016000D0417
2317E0000682,2022-12-01,E,G,53.0,appartement,2011,14 ALLEE DES CHENES 17300 ROCHEFORT,17300,17300,17300_8072_00014,0.98,273.8,17.44,-0.9628,45.9414,17300000E0222
2317E0000065,2020-12-02,G,C,70.0,appartement,2019,3 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_2413_00003,0.98,492.6,30.3,-0.9628,45.9414,17300000D0889
2324E0000729,2022-07-20,G,G,186.0,maison,1962,130 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_4293_00130,0.98,415.1,12.25,0.557,45.087,24016000A0823
2324E0000545,2023-07-13,E,D,173.0,maison,2019,44 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5280_00044,0.95,302.6,20.97,0.557,45.087,24016000D0074
2317E0000749,2023-01-08,E,F,72.0,appartement,2019,66 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_7088_00066,0.95,293.9,15.19,-0.9628,45.9414,17300000A0091
2324E0000750,2022-05-04,F,C,33.0,appartement,1975,6 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6062_00006,0.88,345.3,18.34,0.557,45.087,24016000A0732
2324E0000678,2022-04-08,C,F,65.0,appartement,1983,11 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9130_00011,0.92,120.4,5.86,0.557,45.087,24016000C0515
,2023-08-17,D,D,47.0,appartement,2003,55 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9795_00055,0.71,191.7,10.0,0.557,45.087,24016000B0479
2324E0000026,2022-08-07,D,C,,appartement,1975,21 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3473_00021,0.71,226.2,5.06,0.557,45.087,24016000A0480
2317E0000407,2022-08-25,D,E,90.0,appartement,,25 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_5585_00025,0.98,184.3,10.69,-0.9628,45.9414,17300000A0893
2317E0000646,2021-09-24,C,D,103.0,maison,,180 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_6947_00180,0.92,136.0,4.46,-0.9628,45.9414,17300000E0200
2317E0000675,2023-04-03,F,D,86.0,maison,1975,105 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_6393_00105,0.98,324.9,21.39,-0.9628,45.9414,17300000A0910
2324E0000576,2023-02-07,D,C,78.0,appartement,1890,119 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3257_00119,0.92,209.6,9.66,0.557,45.087,24016000Z0234
2333E0000288,2024-02-16,D,F,182.0,maison,2019,93 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_9730_00093,0.92,186.7,12.05,-0.5792,44.8378,33063000D0583
2333E0000378,2021-08-19,G,C,59.0,appartement,1930,179 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_2309_00179,0.98,453.2,38.53,-0.5792,44.8378,33063000D0700
2333E0000494,2022-10-03,C,D,52.0,appartement,1994,86 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_9186_00086,0.98,134.9,8.43,-0.5792,44.8378,33063000Z0978
2324E0000112,2021-04-26,B,E,82.0,maison,2011,7 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8279_00007,0.95,80.1,4.46,0.557,45.087,24016000Z0027
2324E0000082,2022-08-11,F,E,46.0,appartement,1994,119 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8619_00119,0.98,374.5,22.17,0.557,45.087,24016000B0356
2333E0000245,2024-12-12,G,G,208.0,maison,2011,119 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_5806_00119,0.98,508.9,25.13,-0.5792,44.8378,33063000D0443
2324E0000723,2022-08-10,D,D,95.0,appartement,1962,14 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1384_00014,0.71,223.6,11.1,0.557,45.087,24016000E0684
2333E0000620,2024-12-26,D,F,158.0,maison,2003,45 PLACE COLBERT 33000 BORDEAUX,33000,33063,33063_6804_00045,0.92,191.9,5.94,-0.5792,44.8378,33063000Z0607
2333E0000616,2023-09-26,C,D,50.0,appartement,,128 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_7732_00128,0.95,159.6,7.63,-0.5792,44.8378,33063000B0494
2324E0000490,2022-05-17,G,E,116.0,appartement,2003,77 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3428_00077,0.95,451.6,14.82,0.557,45.087,24016000C0548
2333E0000725,2023-04-29,D,F,141.0,maison,1994,63 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_7277_00063,0.95,220.7,12.35,-0.5792,44.8378,33063000E0835
2317E0000276,2021-04-25,B,D,,maison,2019,143 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_4238_00143,0.88,99.6,5.79,-0.9628,45.9414,17300000D0433
2333E0000119,2023-04-04,D,G,197.0,maison,2011,138 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_6629_00138,0.95,194.4,4.76,-0.5792,44.8378,33063000D0191
2317E0000159,2024-12-01,E,D,65.7,appartement,1890,146 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_2448_00146,0.98,287.4,11.51,-0.9628,45.9414,17300000B0228
2333E0000486,2023-12-07,B,E,62.0,appartement,2003,141 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_5547_00141,0.95,101.5,3.62,-0.5792,44.8378,33063000D0689
2317E0000355,2023-04-09,D,E,145.0,maison,1983,111 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_1904_00111,0.98,176.4,15.0,-0.9628,45.9414,17300000C0071
,2021-03-13,F,D,91.0,appartement,2019,82 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_9018_00082,0.88,333.2,17.05,-0.9628,45.9414,17300000E0894
2324E0000787,2021-03-21,E,D,144.0,maison,1983,56 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9006_00056,0.95,272.9,23.2,0.557,45.087,24016000A0318
2324E0000406,2023-09-16,E,E,94.0,appartement,1994,9 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3851_00009,0.92,279.2,9.63,0.557,45.087,24016000A0923
2333E0000753,2021-12-14,F,F,87.0,maison,1975,15 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_4980_00015,0.92,325.9,21.09,-0.5792,44.8378,33063000D0483
2317E0000564,2022-11-10,D,B,88.0,appartement,2003,4 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_4211_00004,0.92,172.8,9.74,-0.9628,45.9414,17300000A0711
2317E0000610,2022-03-07,G,E,49.0,appartement,2003,43 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_1923_00043,0.95,406.9,23.02,-0.9628,45.9414,17300000A0178
2333E0000364,2023-08-19,D,D,,maison,2003,87 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3231_00087,0.92,187.5,6.76,-0.5792,44.8378,33063000A0095
2317E0000420,2021-03-13,F,D,91.0,appartement,2019,82 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_9018_00082,0.88,333.2,17.05,-0.9628,45.9414,17300000E0894
2324E0000595,2023-02-25,F,E,75.0,appartement,1975,158 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2619_00158,0.95,321.1,14.22,0.557,45.087,24016000A0020
2317E0000454,2023-10-25,D,B,80.0,appartement,1930,89 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_4663_00089,0.95,185.3,13.39,-0.9628,45.9414,17300000A0840
2324E0000716,2023-04-11,G,E,48.0,appartement,1930,113 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7130_00113,0.88,436.0,22.75,0.557,45.087,24016000E0932
2317E0000455,2023-03-04,D,E,165.0,maison,1994,156 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_3853_00156,0.98,228.3,13.38,-0.9628,45.9414,17300000D0708
2324E0000514,2022-11-11,E,E,204.0,maison,1890,7 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2814_00007,0.92,266.8,12.19,0.557,45.087,24016000D0628
2317E0000040,2023-04-01,A,G,,appartement,2011,155 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_1154_00155,0.92,52.1,3.63,-0.9628,45.9414,17300000B0534
2324E0000216,2024-09-27,G,D,45.0,appartement,1975,50 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_4788_00050,0.98,518.2,34.28,0.557,45.087,24016000Z0358
2333E0000542,2023-08-25,D,E,176.0,maison,1994,169 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3973_00169,0.98,180.8,4.23,-0.5792,44.8378,33063000E0820
2324E0000867,2023-01-10,D,E,135.0,maison,1994,93 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6632_00093,0.95,203.1,10.84,0.557,45.087,24016000Z0518
2317E0000157,2020-11-23,D,D,96.0,maison,2011,157 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_8869_00157,0.88,222.3,10.08,-0.9628,45.9414,17300000B0227
2317E0000735,2023-06-14,E,F,182.0,maison,1975,64 ALLEE DES CHENES 17300 ROCHEFORT,17300,17300,17300_7211_00064,0.95,261.1,20.1,-0.9628,45.9414,17300000B0933
2333E0000495,2022-03-08,G,E,59.0,appartement,1975,58 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3435_00058,0.95,408.6,12.66,-0.5792,44.8378,33063000Z0743
2333E0000386,2021-01-16,D,A,71.0,maison,,160 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_2643_00160,0.88,200.6,10.22,-0.5792,44.8378,33063000C0531
2317E0000640,2023-03-23,F,D,49.0,appartement,2019,4 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_8399_00004,0.71,394.8,21.29,-0.9628,45.9414,17300000B0091
2317E0000414,2022-03-17,E,E,55.0,appartement,2003,12 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_5263_00012,0.92,301.6,26.98,-0.9628,45.9414,17300000B0244
2333E0000172,2020-11-22,C,G,52.0,appartement,1890,59 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_9954_00059,0.71,154.1,13.73,-0.5792,44.8378,33063000E0221
2324E0000387,2023-08-05,E,E,154.0,maison,1930,59 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1701_00059,0.95,262.7,6.01,0.557,45.087,24016000D0123
2324E0000441,2022-08-02,B,D,202.0,maison,2011,68 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5307_00068,0.88,90.4,2.74,0.557,45.087,24016000Z0135
2324E0000181,2021-02-08,F,C,68.0,appartement,2019,61 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7806_00061,0.92,331.4,10.73,0.557,45.087,24016000Z0204
2333E0000247,2024-03-22,G,D,82.0,appartement,,32 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_7074_00032,0.95,476.2,32.0,-0.5792,44.8378,33063000A0779
2333E0000184,2023-07-04,F,E,111.0,maison,2019,133 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_8168_00133,0.88,317.7,16.83,-0.5792,44.8378,33063000B0264
2317E0000535,2022-05-24,E,E,57.0,appartement,2019,106 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_5578_00106,0.92,269.1,7.47,-0.9628,45.9414,17300000A0811
2317E0000565,2022-01-16,E,F,190.0,maison,2003,110 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_8230_00110,0.88,283.2,21.65,-0.9628,45.9414,17300000A0761
2324E0000057,2026-03-20,E,F,163.0,maison,1994,22 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_4294_00022,0.95,270.7,13.01,0.557,45.087,24016000A0186
2324E0000114,2023-08-05,E,E,31.0,appartement,1975,81 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1985_00081,0.98,310.1,21.06,0.557,45.087,24016000E0673
2317E0000203,2025-08-14,D,F,84.0,maison,,125 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_2862_00125,0.71,180.7,3.67,-0.9628,45.9414,17300000D0532
2324E0000169,2023-11-28,G,C,64.0,appartement,1994,156 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9323_00156,0.88,427.5,34.26,0.557,45.087,24016000D0385
2324E0000249,2023-01-24,D,A,192.0,maison,1975,91 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7370_00091,0.88,223.7,7.71,0.557,45.087,24016000C0371
2324E0000239,2024-12-27,D,F,101.0,maison,2003,63 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6241_00063,0.98,224.3,11.7,0.557,45.087,24016000A0914
2317E0000227,2022-02-23,B,D,52.0,maison,2011,150 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_6450_00150,0.98,81.3,4.52,-0.9628,45.9414,17300000D0414
2317E0000433,2022-04-17,D,C,88.0,appartement,,17 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_6324_00017,0.98,217.4,14.98,-0.9628,45.9414,17300000A0406
2333E0000440,2020-12-09,F,B,147.0,maison,1890,13 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_9179_00013,0.95,366.5,7.57,-0.5792,44.8378,33063000A0577
2317E0000217,2021-07-13,G,G,,appartement,2011,116 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_4251_00116,0.92,438.4,20.95,-0.9628,45.9414,17300000B0217
2317E0000073,2024-01-03,C,D,64.0,appartement,1994,113 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_3494_00113,0.98,120.5,8.95,-0.9628,45.9414,17300000E0644
2317E0000076,2023-06-17,E,F,87.0,appartement,1930,34 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_5333_00034,0.95,259.4,13.27,-0.9628,45.9414,17300000B0668
2317E0000418,2021-12-16,B,C,98.2,appartement,1930,136 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_1986_00136,0.55,83.4,7.09,-0.9628,45.9414,17300000C0876
2324E0000161,2021-11-02,D,D,60.0,appartement,1890,51 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9509_00051,0.95,192.9,9.76,0.557,45.087,24016000E0223
2324E0000855,2024-11-11,C,E,101.0,maison,1983,85 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8937_00085,0.92,155.5,11.61,0.557,45.087,24016000Z0022
,2022-05-30,B,E,45.0,appartement,1930,122 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_7408_00122,0.98,101.3,8.29,-0.9628,45.9414,17300000B0518
2333E0000365,2023-11-22,F,D,183.4,maison,2011,71 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_5817_00071,0.55,395.2,18.68,-0.5792,44.8378,33063000D0988
2324E0000748,2023-04-05,D,D,197.0,maison,1962,110 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9452_00110,0.98,200.4,13.86,0.557,45.087,24016000B0088
2324E0000790,2024-09-23,B,D,187.0,maison,1983,57 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2098_00057,0.98,94.3,4.53,0.557,45.087,24016000D0050
