id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2023-100015,2024-02-14,1,Vente,185156.83,172,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0787,0,2,Appartement,62,2,,-0.963666,45.912177
2023-100558,2023-02-01,1,Vente,253176.97,12,,RUE DU PALAIS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0163,1,1,Maison,166,6,1638,0.579066,45.073949
2023-100200,2024-04-11,1,Vente,68234.23,116,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0503,0,2,Appartement,48,2,,0.529081,45.087665
2023-100301,2023-12-20,2,Vente,1003561.63,12,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000D0820,0,1,Maison,193,7,1317,-0.601406,44.808652
2023-100799,2025-06-13,1,Vente,198808.89,138,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0976,2,2,Appartement,92,4,,0.577667,45.097065
2023-100801,2024-02-12,1,Vente,81540.72,117,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000Z0230,0,2,Appartement,30,1,,-0.934751,45.929173
2023-100822,2023-07-24,1,Vente,154133.88,171,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000D0284,0,2,Appartement,57,2,,-0.929565,45.930914
2023-100734,2023-07-21,1,Vente,240511.2,72,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0633,0,1,Maison,120,4,345,0.600315,45.079481
2023-100271,2024-01-24,1,Vente,77820.36,36,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000E0258,0,1,Maison,165,6,1374,-0.582166,44.829771
2023-100498,2023-07-30,1,Vente,451479.55,144,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000C0266,2,1,Maison,206,9,1764,-0.966924,45.953987
2023-100043,2025-04-14,1,Vente,76873.96,122,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000B0951,0,2,Appartement,42,2,,-0.919988,45.964923
2023-100410,2025-05-05,1,Vente,142487.95,171,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0602,2,2,Appartement,69,3,,0.507168,45.116781
2023-100242,2025-05-30,1,Vente,255695.37,4,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000A0790,0,2,Appartement,73,3,,-0.613844,44.866902
2023-100878,2023-01-24,1,Vente,172688.36,68,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000C0935,0,2,Appartement,29,1,,-0.581596,44.858603
2023-100721,2023-05-01,1,Vente,189098.12,55,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000B0436,2,2,Appartement,63,3,,-0.932772,45.916102
2023-100873,2024-08-13,1,Vente,803911.13,92,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000E0493,0,1,Maison,187,9,1379,-0.538043,44.85049
2023-100499,2023-11-16,1,Vente,316917.12,16,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0794,0,1,Maison,155,6,1064,0.553546,45.104662
2023-100729,2024-01-14,1,Vente,239156.17,130,,RUE DU PALAIS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0823,0,1,Maison,186,6,1488,0.56747,45.102746
2023-100314,2025-01-04,1,Vente,903986.44,104,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000E0319,0,1,Maison,157,6,1304,-0.609009,44.864065
2023-100611,2025-04-13,1,Vente,698462.39,114,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000Z0154,2,1,Maison,161,7,2049,-0.547259,44.804995
2023-100129,2023-06-15,1,Vente,75852.05,178,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0723,1,2,Appartement,35,2,,0.57448,45.093117
2023-100424,2024-04-21,1,Vente,334455.56,36,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000E0710,0,1,Maison,109,5,547,-0.931184,45.94461
2023-100195,2024-09-19,1,Vente,314231.05,141,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0249,2,1,Maison,167,6,635,0.507673,45.057813
2023-100135,2024-11-11,1,Vente,284725.58,135,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000A0614,1,2,Appartement,51,2,,-0.55715,44.866734
2023-100088,2024-06-05,1,Vente,206360.47,140,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0190,0,1,Maison,155,7,1357,0.584332,45.061203
2023-100752,2024-06-23,1,Vente,173802.62,44,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0156,0,2,Appartement,87,3,,0.573546,45.058694
2023-100188,2023-05-09,1,Vente,168781.23,79,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000E0404,0,2,Appartement,69,3,,-0.913154,45.920044
2023-100230,2023-05-15,1,Vente,85506.51,112,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0253,0,2,Appartement,65,2,,0.571139,45.123084
2023-100592,2025-03-20,1,Vente,76983.5,139,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000B0400,1,2,Appartement,35,2,,-0.968935,45.950816
2023-100196,2023-07-31,1,Vente,229920.92,46,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0038,0,1,Maison,125,4,729,0.565342,45.051018
2023-100429,2024-09-10,1,Vente,132526.59,103,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000C0380,0,2,Appartement,59,3,,-0.923921,45.973935
2023-100559,2023-02-15,1,Vente,302674.88,13,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000D0120,0,2,Appartement,73,2,,-0.573966,44.822145
2023-100807,2024-09-23,1,Vente,456652.55,150,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000Z0473,0,2,Appartement,91,4,,-0.543598,44.802007
2023-COR-S14,2024-07-29,1,Vente,102998.05,158,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0897,1,2,Appartement,-12,1,,-0.961868,45.96625
2023-100024,2025-01-07,1,Vente,101809.3,61,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0850,0,2,Appartement,68,3,,0.516823,45.081183
2023-100735,2024-11-02,1,Vente,442676.73,64,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000B0933,0,1,Maison,182,8,2184,-0.991379,45.976615
2023-100650,2023-06-09,1,Vente,65221.19,103,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0475,1,2,Appartement,42,2,,0.578297,45.098383
2023-100691,2024-04-09,1,Vente,459376.84,20,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000D0442,2,1,Maison,138,6,1974,-0.591143,44.816758
2023-100090,2023-04-18,1,Vente,229399.4,108,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000C0794,0,2,Appartement,41,2,,-0.600894,44.860071
2023-100246,2023-03-21,1,Vente,171079.64,51,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000B0426,0,2,Appartement,74,3,,-0.972716,45.955754
2023-100697,2024-01-18,1,Vente,141487.83,159,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000E0896,0,2,Appartement,32,1,,-0.553947,44.803515
2023-100414,2023-07-23,1,Vente,166209.58,12,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000B0244,0,2,Appartement,55,2,,-0.942105,45.939903
2023-100858,2025-05-10,1,Vente,369137.31,178,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0120,2,1,Maison,203,8,1257,0.513097,45.101499
2023-100692,2023-04-26,1,Vente,364630.95,84,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000C0140,0,1,Maison,170,6,799,-0.993375,45.963762
2023-100295,2023-08-16,1,Vente,154488.23,138,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000Z0167,0,2,Appartement,28,1,,-0.594243,44.844322
2023-100434,2025-04-09,1,Vente,17965.62,118,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000D0262,2,2,Appartement,43,2,,-0.559299,44.845527
2023-100280,2024-01-12,1,Vente,128837.55,151,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0325,2,1,Maison,79,3,2100,0.529501,45.120994
2023-100614,2024-01-06,1,Vente,79632.73,57,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000D0597,1,2,Appartement,38,2,,-0.928716,45.954954
2023-100097,2024-01-27,1,Vente,333439.83,59,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0482,1,1,Maison,196,7,1741,0.58289,45.067852
2023-100409,2023-02-08,1,Vente,78159.3,93,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000A0501,2,2,Appartement,40,2,,-0.981162,45.980531
2023-100209,2025-04-20,1,Vente,245977.25,13,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000D0970,2,2,Appartement,88,3,,-0.939943,45.978095
2023-100899,2024-05-20,2,Vente,274711.32,133,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000Z0701,0,2,Appartement,58,2,,-0.607822,44.831939
2023-100620,2024-12-31,2,Vente,571197.82,45,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000Z0607,0,1,Maison,158,5,2378,-0.570126,44.851284
2023-100527,2025-02-19,1,Vente,53818.33,25,,IMPASSE DES VIGNES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0437,0,2,Appartement,44,1,,0.580257,45.083041
2023-100563,2023-01-04,1,Vente,168997.85,58,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000A0138,1,2,Appartement,79,4,,-1.000219,45.926029
2023-COR-S12,2025-01-11,1,Vente,72287.61,177,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0650,0,2,Appartement,-12,2,,0.598485,45.124978
2023-100425,2024-10-25,1,Vente,329667.53,15,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000A0667,2,2,Appartement,61,3,,-0.567842,44.842529
2023-100363,2023-05-04,1,Vente,69129.74,65,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000C0945,2,1,Maison,144,5,2308,-0.619556,44.863338
2023-100680,2023-11-09,1,Vente,1780245.3,167,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0546,0,1,Maison,124,5,230,0.517407,45.11916
2023-100517,2024-12-24,1,Vente,118656.78,45,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000A0832,0,2,Appartement,38,2,,-0.93553,45.91778
2023-100205,2025-04-01,1,Vente,380061.12,95,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000A0056,0,2,Appartement,80,3,,-0.600004,44.867041
2023-100229,2023-09-09,1,Vente,162967.28,91,,IMPASSE DES VIGNES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0005,0,2,Appartement,85,3,,0.572394,45.100304
2023-100806,2023-11-20,1,Vente,134639.57,19,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000A0861,0,2,Appartement,29,1,,-0.599648,44.81497
2023-100693,2025-01-04,1,Vente,216464.19,161,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0624,0,1,Maison,118,5,2139,0.554623,45.064613
2023-100400,2023-02-06,1,Vente,424867.14,119,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000C0720,2,1,Maison,139,6,2047,-0.971277,45.971092
2023-100633,2023-01-30,1,Vente,79627.27,11,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0552,0,2,Appartement,51,2,,0.581973,45.108655
2023-COR-V13,2023-06-12,1,Vente,,45,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000E0172,1,1,Maison,178,7,2281,-0.564536,44.849869
2023-100093,2024-12-19,1,Vente,966751.93,8,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0879,0,1,Maison,192,7,1375,-0.538567,44.81355
2023-100688,2024-08-05,1,Vente,58983.55,86,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000Z0949,1,2,Appartement,30,1,,-0.936156,45.951257
2023-100741,2024-07-09,1,Vente,349344.58,168,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0298,0,1,Maison,193,6,538,0.554368,45.057455
2023-100303,2024-07-09,1,Vente,623165.92,168,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0017,1,1,Maison,110,4,1575,-0.618914,44.86173
2023-100069,2024-08-15,1,Vente,277573.56,37,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000A0518,0,1,Maison,121,5,687,-0.965516,45.962145
2023-100278,2024-11-20,1,Vente,317605.05,17,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0598,0,1,Maison,182,6,1225,0.550417,45.114902
2023-100439,2025-02-20,1,Vente,265770.22,69,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000Z0832,0,2,Appartement,75,3,,-0.584146,44.849621
2023-100856,2023-03-29,1,Vente,627628.82,145,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000Z0026,1,1,Maison,140,5,1444,-0.577169,44.844545
2023-100531,2024-05-26,1,Vente,285230.14,124,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000D0266,0,2,Appartement,77,2,,-0.564493,44.843753
2023-100346,2023-08-13,1,Vente,122611.38,71,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0258,0,2,Appartement,74,3,,0.56892,45.092245
2023-100050,2024-10-31,1,Vente,336289.94,59,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000Z0759,0,1,Maison,77,3,622,-0.625316,44.857687
2023-100183,2024-11-23,1,Vente,216864.36,133,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000D0573,0,2,Appartement,51,2,,-0.613537,44.86131
2023-100696,2023-10-04,1,Vente,165244.53,119,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0115,0,2,Appartement,77,3,,0.529326,45.062697
2023-100228,2025-04-17,1,Vente,236381.05,165,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0660,0,1,Maison,142,6,1764,0.5957,45.048705
2023-100899,2024-05-20,1,Vente,274711.32,133,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000Z0701,0,2,Appartement,58,2,,-0.607822,44.831939
2023-100894,2023-01-04,1,Vente,352039.24,48,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000A0043,1,2,Appartement,70,3,,-0.576999,44.821371
2023-100125,2024-07-04,1,Vente,352437.97,49,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000A0943,1,2,Appartement,67,3,,-0.555515,44.811752
2023-100849,2023-12-13,1,Vente,143981.74,27,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000D0756,0,2,Appartement,57,3,,-1.008801,45.934461
2023-100074,2023-07-21,1,Vente,221231.65,104,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0573,0,1,Maison,134,5,1063,0.562102,45.067111
2023-100808,2025-02-14,1,Vente,75354.9,132,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0649,2,2,Appartement,51,2,,0.545743,45.107216
2023-100359,2025-06-15,1,Vente,704892.99,178,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000B0742,1,1,Maison,194,6,650,-0.583458,44.868364
2023-100503,2023-02-27,1,Vente,1090379.69,80,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000B0636,0,1,Maison,207,10,1235,-0.548946,44.842061
2023-100031,2024-05-25,1,Vente,164314.73,130,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000D0884,1,2,Appartement,48,2,,-0.61112,44.817298
2023-100779,2024-05-19,1,Vente,768844.44,164,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000D0393,1,1,Maison,189,7,1279,-0.581072,44.814383
2023-100399,2024-02-29,1,Vente,1173336.41,112,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000B0547,0,1,Maison,201,10,342,-0.598401,44.842468
2023-100478,2023-03-06,1,Vente,595600.27,56,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000E0950,0,1,Maison,116,6,450,-0.624732,44.841749
2023-100203,2024-10-09,1,Vente,159348.57,125,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000D0532,0,1,Maison,84,3,1152,-0.933429,45.906796
2023-100109,2023-02-22,1,Vente,194362.74,180,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0108,2,2,Appartement,89,4,,-0.928097,45.974152
2023-COR-S2,2023-02-26,1,Vente,209476.03,80,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000Z0313,0,1,Maison,-12,3,2126,-0.95368,45.981027
2023-100189,2023-09-26,1,Vente,385466.19,17,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0692,2,1,Maison,130,4,812,-0.976663,45.953399
2023-100640,2024-04-09,1,Vente,151273.3,4,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000B0091,2,2,Appartement,49,2,,-1.005746,45.929645
2023-COR-V8,2024-06-10,1,Vente,,69,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000A0727,0,2,Appartement,81,3,,-0.542159,44.812399
2023-100654,2024-11-13,1,Vente,159580.89,83,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000A0444,1,2,Appartement,70,3,,-0.97191,45.913024
2023-100113,2023-05-29,1,Vente,688817.12,126,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0925,2,1,Maison,153,7,1146,-0.580942,44.854959
2023-100426,2025-04-23,1,Vente,1019242.51,141,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000Z0539,0,1,Maison,202,9,242,-0.574219,44.828269
2023-100669,2024-08-14,1,Vente,261464.97,76,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000B0730,0,2,Appartement,52,2,,-0.627139,44.847671
2023-100767,2024-10-15,1,Vente,1161164.21,42,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000Z0477,0,1,Maison,197,9,609,-0.616623,44.852175
2023-100624,2023-05-25,1,Vente,462255.02,152,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000D0568,1,1,Maison,79,3,1636,-0.626779,44.829467
2023-100289,2023-01-11,1,Vente,242487.72,90,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000A0714,0,2,Appartement,58,2,,-0.623376,44.872597
2023-100477,2023-05-12,1,Vente,416303.92,133,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000E0447,0,1,Maison,135,6,1401,-0.939475,45.966512
2023-100869,2024-11-09,1,Vente,97885.27,17,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000A0200,0,2,Appartement,45,2,,-0.935981,45.930473
